modell,eset,futas_par,spearman,top5_atfedes,top1_egyezes
logreg,420,0-1,0.9140350877192982,0.8,1
logreg,420,0-2,0.9122807017543859,1.0,1
logreg,420,1-2,0.9175438596491228,0.8,1
logreg,423,0-1,0.9491228070175438,1.0,1
logreg,423,0-2,0.8894736842105263,0.8,1
logreg,423,1-2,0.9403508771929823,0.8,1
logreg,440,0-1,0.9,0.8,1
logreg,440,0-2,0.9543859649122807,1.0,1
logreg,440,1-2,0.9245614035087718,0.8,1
logreg,442,0-1,0.9035087719298246,0.8,1
logreg,442,0-2,0.8807017543859648,0.8,1
logreg,442,1-2,0.8894736842105263,0.8,1
logreg,454,0-1,0.6105263157894737,0.8,1
logreg,454,0-2,0.7157894736842104,0.8,1
logreg,454,1-2,0.6596491228070176,0.8,1
logreg,457,0-1,0.9350877192982456,0.8,1
logreg,457,0-2,0.9140350877192982,0.8,1
logreg,457,1-2,0.9228070175438597,1.0,1
logreg,459,0-1,0.8789473684210527,0.8,0
logreg,459,0-2,0.8315789473684211,1.0,1
logreg,459,1-2,0.7578947368421053,0.8,0
logreg,464,0-1,0.9228070175438597,0.8,1
logreg,464,0-2,0.8315789473684211,0.8,1
logreg,464,1-2,0.8719298245614034,1.0,1
logreg,467,0-1,0.9315789473684211,0.8,1
logreg,467,0-2,0.9280701754385964,0.8,1
logreg,467,1-2,0.9789473684210527,1.0,1
logreg,471,0-1,0.8807017543859648,1.0,1
logreg,471,0-2,0.8228070175438595,1.0,1
logreg,471,1-2,0.943859649122807,1.0,1
logreg,475,0-1,0.787719298245614,1.0,1
logreg,475,0-2,0.8087719298245614,1.0,1
logreg,475,1-2,0.6982456140350877,1.0,1
logreg,480,0-1,0.9035087719298246,0.8,1
logreg,480,0-2,0.882456140350877,0.8,1
logreg,480,1-2,0.9210526315789472,0.8,1
logreg,495,0-1,0.6298245614035087,0.8,1
logreg,495,0-2,0.6298245614035087,0.8,0
logreg,495,1-2,0.6017543859649123,1.0,0
logreg,503,0-1,0.9473684210526316,0.8,1
logreg,503,0-2,0.9368421052631579,0.8,1
logreg,503,1-2,0.9526315789473684,1.0,1
logreg,506,0-1,0.5263157894736842,0.8,1
logreg,506,0-2,0.4666666666666667,0.6,1
logreg,506,1-2,0.26491228070175443,0.6,1
logreg,521,0-1,0.8947368421052632,1.0,1
logreg,521,0-2,0.9666666666666668,1.0,1
logreg,521,1-2,0.9456140350877192,1.0,1
logreg,523,0-1,0.8807017543859648,0.8,1
logreg,523,0-2,0.9157894736842105,0.8,1
logreg,523,1-2,0.8122807017543859,1.0,1
logreg,530,0-1,0.7508771929824561,0.8,1
logreg,530,0-2,0.9210526315789472,0.8,1
logreg,530,1-2,0.8719298245614034,0.8,1
logreg,547,0-1,0.8649122807017543,1.0,1
logreg,547,0-2,0.8736842105263157,1.0,1
logreg,547,1-2,0.863157894736842,1.0,1
logreg,551,0-1,0.7842105263157895,1.0,1
logreg,551,0-2,0.887719298245614,1.0,1
logreg,551,1-2,0.9175438596491228,1.0,1
logreg,556,0-1,0.7929824561403509,0.8,1
logreg,556,0-2,0.8280701754385964,0.8,1
logreg,556,1-2,0.9,0.8,1
logreg,558,0-1,0.7771929824561404,0.6,1
logreg,558,0-2,0.7789473684210525,0.8,1
logreg,558,1-2,0.5456140350877193,0.6,1
logreg,559,0-1,0.9,1.0,1
logreg,559,0-2,0.9315789473684211,1.0,1
logreg,559,1-2,0.9543859649122807,1.0,1
logreg,562,0-1,0.7052631578947368,0.8,1
logreg,562,0-2,0.7982456140350876,0.8,1
logreg,562,1-2,0.7,1.0,1
logreg,564,0-1,0.9421052631578948,0.8,1
logreg,564,0-2,0.8964912280701753,0.8,1
logreg,564,1-2,0.9456140350877192,0.8,1
logreg,572,0-1,0.7789473684210525,0.8,1
logreg,572,0-2,0.7964912280701755,0.6,1
logreg,572,1-2,0.8,0.6,1
logreg,582,0-1,0.9649122807017543,1.0,1
logreg,582,0-2,0.9421052631578948,1.0,1
logreg,582,1-2,0.9421052631578948,1.0,1
logreg,587,0-1,0.6473684210526316,0.8,1
logreg,587,0-2,0.5140350877192983,0.8,1
