modell,modszer,zajszint,ismetles,eset,spearman,top5_atfedes,top1_egyezes
logreg,shap,0.01,2,809,1.0,1.0,1
logreg,shap,0.01,2,812,1.0,1.0,1
logreg,shap,0.01,2,830,1.0,1.0,1
logreg,shap,0.01,2,845,1.0,1.0,1
logreg,shap,0.01,2,847,1.0,1.0,1
logreg,shap,0.01,2,848,1.0,1.0,1
logreg,shap,0.01,2,850,0.9929824561403509,1.0,1
logreg,shap,0.01,2,860,1.0,1.0,1
logreg,shap,0.01,2,864,0.9947368421052631,1.0,1
logreg,shap,0.01,2,869,1.0,1.0,1
logreg,shap,0.01,2,872,1.0,1.0,1
logreg,shap,0.01,2,874,1.0,1.0,1
logreg,shap,0.01,2,875,1.0,1.0,1
logreg,shap,0.01,2,878,1.0,1.0,1
logreg,shap,0.01,2,880,1.0,1.0,1
logreg,shap,0.01,2,886,0.9982456140350877,1.0,1
logreg,shap,0.01,2,889,1.0,1.0,1
logreg,shap,0.01,2,896,1.0,1.0,1
